asset_id,filename,referenced_product_slug,referenced_product_title,collection,world,source_class,source_evidence,hash_evidence,current_site_usage,prototype_status,production_clearance_status,required_decision,required_reviewers,replacement_required_if,clearance_notes
SITE-ASSET-001,activity-cube-baby-push-walker.jpg,activity-cube-baby-push-walker,Activity Cube Baby Push Walker,new-in,Milestone Activity,official_catalog_exact_copy,data/labebe/images/activity-cube-baby-push-walker.jpg,c1413f6b9b87e990,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
SITE-ASSET-002,activity-montessori-baby-push-walker.jpg,activity-montessori-baby-push-walker,Activity Montessori Baby Push Walker,new-in,First Steps & Activity,official_catalog_live_probe_exact_copy,data/labebe/live_probe_images_20260428/activity-montessori-baby-push-walker.jpg,6593db88de5960a7,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
SITE-ASSET-003,blue-squirrel-plush-rocker.jpg,blue-squirrel-plush-rocker,Blue Squirrel Plush Rocker,rockers-ride-ons,Giftable Rockers,official_catalog_live_probe_exact_copy,data/labebe/images/blue-squirrel-plush-rocker.jpg,34acaada1363ba42,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
SITE-ASSET-004,children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art.jpg,children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art,Children’s Writing Desk and Chair Set,furniture,Study & Art Corner,official_catalog_exact_copy,data/labebe/images/children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art.jpg,22061dcb3fac9ed1,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
SITE-ASSET-005,classic-montessori-baby-push-walker.jpg,classic-montessori-baby-push-walker,Classic Montessori Baby Push Walker,new-in,First Steps & Activity,official_catalog_live_probe_exact_copy,data/labebe/live_probe_images_20260428/classic-montessori-baby-push-walker.jpg,d2dbce98e0b08fe5,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
SITE-ASSET-006,cream-wooden-play-kitchen-set-with-storage.jpg,cream-wooden-play-kitchen-set-with-storage,Cream Wooden Play Kitchen Set with Storage,pretend-play,Tiny Pretend Worlds,official_catalog_exact_copy,data/labebe/images/cream-wooden-play-kitchen-set-with-storage.jpg,9f1cda5c8f4bbe11,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
SITE-ASSET-007,crocodile-plush-rocker.jpg,crocodile-plush-rocker,Crocodile Plush Rocker,rockers-ride-ons,Giftable Rockers,official_catalog_live_probe_exact_copy,data/labebe/images/crocodile-plush-rocker.jpg,1463b888ef59c7d0,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
SITE-ASSET-008,farm-themed-baby-push-walker.jpg,farm-themed-baby-push-walker,Farm-Themed Baby Push Walker,new-in,First Steps & Activity,official_catalog_live_probe_exact_copy,data/labebe/live_probe_images_20260428/farm-themed-baby-push-walker.jpg,eb43858990737277,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
SITE-ASSET-009,foldable-learning-tower-montessori-kitchen-tower-log-color.jpg,foldable-learning-tower-montessori-kitchen-tower-log-color,Foldable Learning Tower Montessori Kitchen Tower,furniture,Montessori at Home,official_catalog_exact_copy,data/labebe/images/foldable-learning-tower-montessori-kitchen-tower-log-color.jpg,f1bee258fe54c0a6,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
SITE-ASSET-010,fox-plush-rocker.jpg,fox-plush-rocker,Fox Plush Rocker,rockers-ride-ons,Giftable Rockers,official_catalog_live_probe_exact_copy,data/labebe/images/fox-plush-rocker.jpg,f9dc74849c24bbbe,referenced_by_current_consumer_site,internal_prototype_ok,pending_brand_legal_review,approve_for_dtc | internal_only | replace_before_launch,brand_owner; legal/rights; ecommerce_owner,brand/legal cannot confirm Labebe-owned or licensed usage rights for production DTC deployment,No production approval is asserted by this queue. Treat as internal prototype media until reviewed.
