sku_id,asin,human_review_status,promotion_lane,human_note
crocodile-plush-rocker,B071774PWC,human_confirmed_same_product,eligible_for_identity_promotion,"DTC and Amazon images show the same crocodile plush rocker; PDP fact sample is usable."
highlander-cattle-plush-rocker,B071774PWC,human_rejected_wrong_product,blocked_negative_training,"Search returned Crocodile, not Highlander Cattle. Keep as search false-positive evidence."
pink-unicorn-plush-rocker,B072LXVM36,human_confirmed_same_product,eligible_for_identity_promotion,"Amazon image is a child-in-scene variant of the same Pink Unicorn rocker."
llama-plush-rocker,B07MFXJ28Y,human_confirmed_same_product,eligible_for_identity_promotion,"DTC and Amazon images show the same Llama plush rocker."
mammoth-plush-rocker,B07Z3DXVQT,human_retry_required,provider_or_pdp_retry,"Title suggests Mammoth, but Amazon image/social-proof capture is missing; do not promote without retry."
yak-plush-rocker,B07Z3DXVQT,human_rejected_wrong_variant,blocked_negative_training,"ASIN text points to Mammoth, not Yak; do not map to Yak."
white-swan-plush-rocker,B0BVR63LRR,human_confirmed_same_product,eligible_for_identity_promotion,"DTC and Amazon images show the same White Swan rocker family; Amazon includes the companion plush."
activity-montessori-baby-push-walker,B0D6YX3XG1,human_variant_cluster_not_exact,variant_cluster_review,"Both are activity walkers but the Amazon image is a different model/variant. Do not use as exact SKU proof."
panda-baby-push-walker,B0D6YX3XG1,human_rejected_wrong_variant,blocked_negative_training,"Amazon image is not the Panda walker."
classic-montessori-baby-push-walker,B0D6YX3XG1,human_variant_cluster_not_exact,variant_cluster_review,"Amazon image is a related activity walker but not the same DTC classic model."
sheep-plush-rocker,B0DJ6XM7GK,human_retry_required,provider_or_pdp_retry,"PDP text suggests Sheep, but the captured Amazon image is an unrelated storefront/banner; retry needed."
fox-plush-rocker,B0DSVJB5QH,human_confirmed_same_product,eligible_for_identity_promotion,"DTC and Amazon images show the same Fox rocker."
wooden-rocking-horse,B0DSZXRZZ1,human_retry_required,provider_or_pdp_retry,"PDP capture is weak/blank; no Amazon product image available."
activity-cube-baby-push-walker,B0F8PZ7KZQ,human_variant_cluster_not_exact,variant_cluster_review,"Both are push walkers, but the Amazon image is a different doll-stroller/activity variant."
farm-themed-baby-push-walker,B0F8PZ7KZQ,human_rejected_wrong_variant,blocked_negative_training,"Amazon image is not the farm-themed walker."
ice-cream-cart-baby-push-walker,B0F8PZ7KZQ,human_rejected_wrong_variant,blocked_negative_training,"Amazon image is not the ice-cream-cart walker."
doll-stroller-baby-push-walker,B0F8PZ7KZQ,human_variant_cluster_probable,variant_cluster_review,"Amazon image appears to be a close doll-stroller/activity variant, but accessories and visual details differ; provider verification required."
cream-wooden-play-kitchen-set-with-storage,B0FH1KX7XQ,human_confirmed_same_product,eligible_for_identity_promotion,"DTC and Amazon images show the same cream wooden play kitchen."
midnight-serenity-wooden-play-kitchen-set,B0FH1KX7XQ,human_rejected_wrong_variant,blocked_negative_training,"Amazon image is the cream kitchen, not the black Midnight Serenity kitchen."
stylish-wooden-kids-kitchen-playset,B0FH1KX7XQ,human_rejected_wrong_variant,blocked_negative_training,"Amazon image is the cream kitchen, not the gray/white Stylish kitchen."
princess-vanity-set-with-stool-and-lights,B0FLD8TWWN,human_retry_required,provider_or_pdp_retry,"Title suggests a vanity match but product image/social-proof capture is weak; retry or provider extraction required."
learning-tower-montessori-kitchen-tower-unicorn-design,B0FMRDDRZK,human_retry_required,provider_or_pdp_retry,"Learning tower text exists but Amazon image capture is a storefront/banner; retry required."
learning-tower-montessori-kitchen-tower-gray,B0FMRDDRZK,human_retry_required,provider_or_pdp_retry,"Learning tower text exists but Amazon image capture is a storefront/banner; retry required."
learning-tower-montessori-kitchen-tower-white,B0FMRDDRZK,human_retry_required,provider_or_pdp_retry,"Learning tower text exists but Amazon image capture is a storefront/banner; retry required."
learning-tower-montessori-kitchen-tower-with-slide,B0FMRDDRZK,human_retry_required,provider_or_pdp_retry,"Learning tower text exists but Amazon image capture is a storefront/banner; retry required."
foldable-learning-tower-montessori-kitchen-tower-log-color,B0FMRDDRZK,human_retry_required,provider_or_pdp_retry,"Learning tower text exists but Amazon image capture is a storefront/banner; retry required."
learning-tower-montessori-kitchen-tower-log-color,B0FMRDDRZK,human_retry_required,provider_or_pdp_retry,"Learning tower text exists but Amazon image capture is a storefront/banner; retry required."
blue-squirrel-plush-rocker,B0FSQ48N93,human_confirmed_same_product,eligible_for_identity_promotion,"DTC and Amazon images show the same Blue Squirrel rocker."
