claim_id,sku_id,asin,claim_text,claim_type,source_surface,identity_status,decision,reason,source_json,observed_at
B072LXVM36-bullet-01,pink-unicorn-plush-rocker,B072LXVM36,"Award Winning Design Only in labebe - The structure and plush animal appearance are all originally designed by our French Team. Using baby's favorite biomimetic design, combines a unicorn design with modern features.Cute unicorn with silver horn and pink mane, baby girl must love such a good companion! All plush images are designed in house! The supporting structure is made of solid wood which has 150 lb as max weight capacity. This cute pink unicorn rocker horse is a best gift for nursery baby on holidays or birthdays.",award_design,Amazon PDP feature bullets,accepted_browser_visual_sample,blocked_for_dtc_reuse,Award/design-origin claim needs independent evidence.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B072LXVM36_structured.json,2026-04-27T16:52:11.142Z
B072LXVM36-bullet-02,pink-unicorn-plush-rocker,B072LXVM36,"3 Sides Seat with Safety Belt - Seat with belt designed for little kids .who have less balance capability, kid will be always protected while rocking on the well-stuffed seat with pp. cotton. The abundant pp cotton is spread evenly at every corner, which ensures comfort. Also, it is a suitable baby rocking toy or rocking toy for kids, a must-have stuffed animal ride. Baby will be extremely supervised and happy to have it as a Christmas gift .",safety_general,Amazon PDP feature bullets,accepted_browser_visual_sample,manual_review_required,Safety-oriented seller claim needs official support and softened wording.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B072LXVM36_structured.json,2026-04-27T16:52:11.142Z
B072LXVM36-bullet-03,pink-unicorn-plush-rocker,B072LXVM36,"Help Train Core Muscles: This pink unicorn rocking horse ideal height for baby 1-3 years to go up and down. Climbing up and down the rocker unicorn animal also strengthens the arm and leg muscles,help exercise their sense of balance, palm grip, cultivate thinking skills, stimulate curiosity, and promote children's healthy growth.Meanwhile it can be well used as baby rocker chair, kids riding toys or plush rocking horse. This is quite a fantastic birthday gift for your baby.",development_benefit,Amazon PDP feature bullets,accepted_browser_visual_sample,manual_review_required,Development-benefit claim needs softened language and review.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B072LXVM36_structured.json,2026-04-27T16:52:11.142Z
B072LXVM36-bullet-04,pink-unicorn-plush-rocker,B072LXVM36,"Perfect Soft for Baby Skin: The filled PP cotton are all well stitched inside the plush fabric, sewing are neatly done, baby's little butt is completely protected by softness and you won't find any fiberfill come out from corner, Unicorn will stay solid even when roughly pulled by babies. The abundant pp cotton are spread evenly at every corner, this ensures the comfort. Your child will enjoy it with this baby ride, baby rocking horse. This animal rocker, rocker toy will be a best gift for 1 year old girl.At the same time also a beautiful add to a playroom or bedroom~",safety_general,Amazon PDP feature bullets,accepted_browser_visual_sample,manual_review_required,Safety-oriented seller claim needs official support and softened wording.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B072LXVM36_structured.json,2026-04-27T16:52:11.142Z
B072LXVM36-bullet-05,pink-unicorn-plush-rocker,B072LXVM36,"Fast Assemble: Solid wood and MDF (Medium Density Fiber) are used to make the structure, solid but not too heavy to rock.The bottom plate is already assembled at the factory, you only need to install two wooden boards, four screws and wooden blocks, anyone can easily install it.Easy to use accessories and clear illustrations to successfully complete the assembly.If there are stains, you can use baking soda and a wet rag to help clean, and if you are not sure how to do this, or have any questions, please contact us and we will be happy to help you.",materials,Amazon PDP feature bullets,accepted_browser_visual_sample,manual_review_required,Material claim needs official product/spec source.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B072LXVM36_structured.json,2026-04-27T16:52:11.142Z
B0FH1KX7XQ-bullet-01,cream-wooden-play-kitchen-set-with-storage,B0FH1KX7XQ,"Premium Wood Build: Wooden play kitchen for kids in premium wood, a durable wooden kids play kitchen and wooden kitchen set for kitchen play and toddler kitchen play",listing_copy,Amazon PDP feature bullets,accepted_browser_visual_sample,internal_reference_only,Seller listing copy is not automatically reusable as DTC truth.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B0FH1KX7XQ_structured.json,2026-04-27T17:22:19.129Z
B0FH1KX7XQ-bullet-02,cream-wooden-play-kitchen-set-with-storage,B0FH1KX7XQ,"Complete Play Areas: This toy kitchen with stove, sink, ice maker, and a wide range of pots and pans simulates everyday kitchen play, a realistic pretend cooking set with sink",listing_copy,Amazon PDP feature bullets,accepted_browser_visual_sample,internal_reference_only,Seller listing copy is not automatically reusable as DTC truth.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B0FH1KX7XQ_structured.json,2026-04-27T17:22:19.129Z
B0FH1KX7XQ-bullet-03,cream-wooden-play-kitchen-set-with-storage,B0FH1KX7XQ,"Smart Storage: Play kitchen set with enhanced storage and two storage boxes keeps kitchen toys neat, an upgraded toy kitchen set for kitchen play and toddlers",listing_copy,Amazon PDP feature bullets,accepted_browser_visual_sample,internal_reference_only,Seller listing copy is not automatically reusable as DTC truth.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B0FH1KX7XQ_structured.json,2026-04-27T17:22:19.129Z
B0FH1KX7XQ-bullet-04,cream-wooden-play-kitchen-set-with-storage,B0FH1KX7XQ,"Safe Choice: Certified by ASTM and EN71 international safety standards, this kitchen for toddlers ages 3+ is a toy kitchen for toddlers ages 3+ and play kitchen for kids ages 3-8",safety_certification,Amazon PDP feature bullets,accepted_browser_visual_sample,blocked_for_dtc_reuse,Safety/certification claim needs official source and manual review.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B0FH1KX7XQ_structured.json,2026-04-27T17:22:19.129Z
B0FH1KX7XQ-bullet-05,cream-wooden-play-kitchen-set-with-storage,B0FH1KX7XQ,"Skill Building: Interactive kitchen and pretend play kitchen set for girls and boys builds imagination and sharing, a wooden toy kitchen and kids kitchen playset for home",listing_copy,Amazon PDP feature bullets,accepted_browser_visual_sample,internal_reference_only,Seller listing copy is not automatically reusable as DTC truth.,/vol1/1000/projects/toyresearch/planning/20260427_labebe_14day_execution/work_products/product_market_master/live_crawl_20260428/amazon_B0FH1KX7XQ_structured.json,2026-04-27T17:22:19.129Z
