claim_id,claim_text,claim_type,source_id,source_tier,source_path_or_url,trace_point,status,risk_level,second_check_required,reviewer,notes
C01,"ChatgptREST 的根源定位是 REST 作业队列 + 后台 worker，而不是以 OpenClaw 插件起家。",fact,S1,T1,AGENTS.md,"33-40",frozen,medium,no,codex,"与 handoff history 的早期 milestone 互相印证。"
C02,"到 2026-03-01，本仓库已经正式承载 OpenMind v3 advisor 系统，并且被描述为独立于原 REST 作业队列运行。",fact,S2,T1,AGENTS.md,"188-219",frozen,medium,no,codex,"说明仓库从单系统变成双系统。"
C03,"2026-03-08 的 substrate 文档已经明确把 OpenMind 定位为 durable cognitive substrate，把 OpenClaw 定位为 optional execution front-end。",fact,S3,T1,docs/integrations/openclaw_cognitive_substrate.md,"8-20",frozen,high,yes,codex,"这是一次明确的顶层叙事反转。"
C04,"ADR-002 的真实边界定义在 domain service，而不是 shell；外部 shell 和内部 caller 都只是 transport。",fact,S4,T1,docs/contracts/ADR-002-ingress.md,"16-44",frozen,high,yes,codex,"这进一步削弱了“OpenClaw 必须是唯一主壳”的前提。"
C05,"2026-03-09 的 best-practice blueprint 又把 upstream OpenClaw 定义为 shell/runtime/control plane，并强调 role agents 不应成为独立产品面。",fact,S5,T1,docs/integrations/openclaw_openmind_best_practice_blueprint_20260309.md,"18-31",frozen,high,yes,codex,"这是另一套同样正式的顶层叙事。"
C06,"2026-03-12 到 2026-03-17 期间，openmind-advisor 插件从围绕 /v2/advisor 兼容语义，收敛到调用 /v3/agent/turn 的 public agent contract。",fact,S6,T1,docs/dev_log/2026-03-12_advisor_path_convergence_walkthrough_v2.md + openclaw_extensions/openmind-advisor/README.md,"17-35; 17-25",frozen,medium,no,codex,"说明 OpenClaw 插件入口本身也在向 ChatgptREST public agent 面收敛。"
C07,"到 2026-03-15，controller 已被推进成 objective-first 的执行骨架，而不是仅仅存在于 advisor route 内部。",fact,S7,T1,docs/dev_log/2026-03-15_openmind_controller_unification_walkthrough_v2.md,"15-89",frozen,high,yes,codex,"这意味着 orchestration 语义被进一步内收到 ChatgptREST。"
C08,"到 2026-03-25，官方 maintainer 文档已经把仓库正式描述为 execution/public-agent/advisor/controller/dashboard 五个 plane 的叠加体。",fact,S8,T1,docs/ops/2026-03-25_agent_maintainer_entry_v1.md,"8-16; 43-90",frozen,high,yes,codex,"这说明多平面不是臆测，而是官方分类。"
C09,"当前 coding-agent 默认 northbound surface 已经是 ChatgptREST 自己的 public advisor-agent MCP，而不是 OpenClaw shell。",fact,S9,T1,AGENTS.md,"100-137",frozen,high,yes,codex,"适用范围限定为 Codex / Claude Code / Antigravity。"
C10,"当前 routes_agent_v3 是集成中枢而不是薄适配器：它同时耦合 advisor runtime、controller、workspace、memory capture 与 job substrate。",interpretation,S10,T1,chatgptrest/api/routes_agent_v3.py,"1-10; 33-72; 94-107; 3366-3384",frozen,high,yes,codex,"这是 public agent 成为 integrated host 入口的代码证据。"
C11,"因此，当前仓库的真实身份更接近 integrated host / multi-plane platform，而不是单一 ChatgptREST 库或单一 OpenClaw 插件实现。",interpretation,S1+S2+S3+S7+S8+S9,T1,multiple,"AGENTS 33-40, 100-137, 188-219; substrate 8-20; controller 15-89; maintainer entry 8-16",supported_not_frozen,high,yes,codex,"这是对多个 frozen facts 的综合解释。"
C12,"造成『越开发越乱』的主因是 additive convergence without retirement，而不是某一个 commit 的偶发失控。",interpretation,S11,T1,docs/2026-03-17_unified_advisor_agent_surface_convergence_blueprint_v2.md,"165-180",supported_not_frozen,high,yes,codex,"蓝图显式要求 additive/backward compatible/不删除旧入口。"
C13,"当前系统存在一个统一、无冲突的默认产品叙事。",interpretation,S5+S8+S9,T1,docs/integrations/openclaw_openmind_best_practice_blueprint_20260309.md + docs/ops/2026-03-25_agent_maintainer_entry_v1.md + AGENTS.md,"18-31; 103-131; 8-16; 43-90; 100-137",conflicted,high,yes,codex,"对 OpenClaw 用户与 coding-agent 用户分别有不同 primary surface，但仓库顶层没有一页纸统一口径。"
G01,"仓库已经存在一个 repo-level ADR，统一定义 ChatgptREST / OpenMind / OpenClaw / public agent / controller 的顶层身份、authority matrix 和 retirement plan。",boundary,S4+S8,T1,docs/contracts/ADR-002-ingress.md + docs/ops/2026-03-25_agent_maintainer_entry_v1.md,"16-44; 8-16",gap,high,yes,codex,"现有 ADR 更偏 cognitive ingress/identity；官方 maintainer 文档承认多 plane，但没有 repo-level identity ADR。"
G02,"旧入口（/v1/jobs、/v2/advisor/*、旧 role-agent/orch lane）已经有明确、公开的退役矩阵与时间表。",boundary,S9+S11,T1,AGENTS.md + docs/2026-03-17_unified_advisor_agent_surface_convergence_blueprint_v2.md,"100-137; 165-180",gap,high,yes,codex,"文档大量写 guardrail，但缺少正式 deprecation schedule。"
R01,"短期内最务实的治理方向，是先承认 integrated host 现实，再补 repo-level identity ADR、authority table、surface hierarchy 和 deprecation matrix。",recommendation,S11+G01+G02,T1,multiple,"统一收敛判断",supported_not_frozen,high,yes,codex,"先承认现实，再决定是否做物理拆仓。"
