workspace	identifier	status	priority	domain	migration_class	title
Assistant Factory	ASF-26	done	high	control-plane	migrate_lesson_or_followup	Build cross-workspace evidence bundle exporter
Assistant Factory	ASF-25	done	high	control-plane	migrate_lesson_or_followup	Compile proof ledger and sidecar knowledge register
Assistant Factory	ASF-24	done	high	control-plane	migrate_lesson_or_followup	Implement read-only chief live snapshot exporter
Assistant Factory	ASF-23	done	high	control-plane	migrate_lesson_or_followup	Implement runnable chief manifest and advance_one dry-run harness
Assistant Factory	ASF-22	done	high	planning-memory	archive_as_blueprint_or_future_project	Harness0 golden path: executable planning-memory case_01 proof
Assistant Factory	ASF-21	done	none	planning-memory	archive_as_blueprint_or_future_project	Cross-workspace dispatch smoke worker ack
Assistant Factory	ASF-20	done	medium	education	archive_as_blueprint_or_future_project	梳理儿子语音助手设想与依赖
Assistant Factory	ASF-19	done	medium	education	archive_as_blueprint_or_future_project	梳理教育专家助理需求与现有材料
Assistant Factory	ASF-18	done	medium	control-plane	migrate_lesson_or_followup	Chief manifest and transition checker design baseline
Assistant Factory	ASF-17	done	medium	control-plane	migrate_lesson_or_followup	设计 Hermes 总控 prompt 与 specialist routing
Assistant Factory	ASF-16	done	medium	control-plane	migrate_lesson_or_followup	切 Hermes 主入口到独立 Codex auth 方案
Assistant Factory	ASF-15	done	medium	control-plane	migrate_lesson_or_followup	确认 Hermes 主入口 provider model MCP skill 现状
Assistant Factory	ASF-14	done	medium	chatgptrest-capability	migrate_lesson_or_followup	设计 UI 自动化升级方案
Assistant Factory	ASF-13	done	medium	chatgptrest-capability	migrate_lesson_or_followup	调研 anything-cli 与 opencli 升级路径
Assistant Factory	ASF-12	done	medium	chatgptrest-capability	migrate_lesson_or_followup	执行 capability regression matrix
Assistant Factory	ASF-11	done	medium	chatgptrest-capability	migrate_lesson_or_followup	列出现有 web 自动化能力清单
Assistant Factory	ASF-10	done	medium	finbot	archive_as_blueprint_or_future_project	设计 finbot Paper Replay / Data Ground Truth Pilot
Assistant Factory	ASF-9	done	medium	finbot	archive_as_blueprint_or_future_project	冻结 OpportunityCase 合同与只读映射方案
Assistant Factory	ASF-8	done	medium	finbot	archive_as_blueprint_or_future_project	归档已有投研产物与工作框架
Assistant Factory	ASF-7	done	medium	finbot	archive_as_blueprint_or_future_project	梳理 codexread -> finagent -> finbot 历史链
Assistant Factory	ASF-6	done	medium	planning-memory	archive_as_blueprint_or_future_project	开 GBrain sandbox lane
