sku_id,title_clean,primary_world,catalog_scope,website_role,dtc_review_count_visible,amazon_identity_lane,current_asin,amazon_review_count,amazon_sold_by,search_candidate_asin,search_candidate_status,search_candidate_score,human_review_status,promotion_lane,batch_id,priority,recommended_method,next_action,public_copy_rule,worker_guardrail
pink-unicorn-plush-rocker,Pink Unicorn Plush Rocker,Giftable Rockers,core_product,homepage_hero_or_best_seller,18,identity_whitelist_candidate,B072LXVM36,2657,Labebe Store,B072LXVM36,pdp_queue_high_confidence,100,human_confirmed_same_product,eligible_for_identity_promotion,B0_identity_whitelist_review_voc,P0_gate_after_authorized_reviews,review_voc_runner_then_claim_review,Run claim gate and authorized review/VOC extraction only; no more identity discovery needed for this row.,no_public_copy_until_claim_review_and_source_approval,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
cream-wooden-play-kitchen-set-with-storage,Cream Wooden Play Kitchen Set with Storage,Pretend Play Worlds,core_product,category_anchor_pdp,9,identity_whitelist_candidate,B0FH1KX7XQ,25,Pretty valley,B0FH1KX7XQ,pdp_queue_variant_cluster,92,human_confirmed_same_product,eligible_for_identity_promotion,B0_identity_whitelist_review_voc,P0_gate_after_authorized_reviews,review_voc_runner_then_claim_review,Run claim gate and authorized review/VOC extraction only; no more identity discovery needed for this row.,no_public_copy_until_claim_review_and_source_approval,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
llama-plush-rocker,Llama Plush Rocker,Giftable Rockers,core_product,best_seller_grid_and_gift_collection,7,identity_whitelist_candidate,B07MFXJ28Y,358,Labebe Store,B07MFXJ28Y,search_competitor_or_generic_top_result,55,human_confirmed_same_product,eligible_for_identity_promotion,B0_identity_whitelist_review_voc,P0_gate_after_authorized_reviews,review_voc_runner_then_claim_review,Run claim gate and authorized review/VOC extraction only; no more identity discovery needed for this row.,no_public_copy_until_claim_review_and_source_approval,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
white-swan-plush-rocker,White Swan Plush Rocker From,Giftable Rockers,core_product,homepage_hero_or_best_seller,6,identity_whitelist_candidate,B0BVR63LRR,560,Labebe Store,B0BVR63LRR,pdp_queue_high_confidence,94,human_confirmed_same_product,eligible_for_identity_promotion,B0_identity_whitelist_review_voc,P0_gate_after_authorized_reviews,review_voc_runner_then_claim_review,Run claim gate and authorized review/VOC extraction only; no more identity discovery needed for this row.,no_public_copy_until_claim_review_and_source_approval,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
crocodile-plush-rocker,Crocodile Plush Rocker,Giftable Rockers,core_product,homepage_hero_or_best_seller,4,identity_whitelist_candidate,B071774PWC,662,Labebe Store,B071774PWC,pdp_queue_variant_cluster,100,human_confirmed_same_product,eligible_for_identity_promotion,B0_identity_whitelist_review_voc,P0_gate_after_authorized_reviews,review_voc_runner_then_claim_review,Run claim gate and authorized review/VOC extraction only; no more identity discovery needed for this row.,no_public_copy_until_claim_review_and_source_approval,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
fox-plush-rocker,Fox Plush Rocker,Giftable Rockers,core_product,best_seller_grid_and_gift_collection,4,identity_whitelist_candidate,B0DSVJB5QH,69,Labebe Store,B0DSVJB5QH,pdp_queue_high_confidence,100,human_confirmed_same_product,eligible_for_identity_promotion,B0_identity_whitelist_review_voc,P0_gate_after_authorized_reviews,review_voc_runner_then_claim_review,Run claim gate and authorized review/VOC extraction only; no more identity discovery needed for this row.,no_public_copy_until_claim_review_and_source_approval,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
blue-squirrel-plush-rocker,Blue Squirrel Plush Rocker,Giftable Rockers,core_product,best_seller_grid_and_gift_collection,,identity_whitelist_candidate,B0FSQ48N93,77,Labebe Store,B0FSQ48N93,pdp_queue_high_confidence,100,human_confirmed_same_product,eligible_for_identity_promotion,B0_identity_whitelist_review_voc,P0_gate_after_authorized_reviews,review_voc_runner_then_claim_review,Run claim gate and authorized review/VOC extraction only; no more identity discovery needed for this row.,no_public_copy_until_claim_review_and_source_approval,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
activity-montessori-baby-push-walker,Activity Montessori Baby Push Walker,First Steps & Activity,site_all_only,family_collection_not_exact_marketplace_claim,5,variant_cluster_research,B0D6YX3XG1,132,Pretty valley,B0D6YX3XG1,pdp_queue_variant_cluster,92,human_variant_cluster_not_exact,variant_cluster_review,B1_variant_cluster_map,P1_high,provider_variation_api_or_manual_variant_sheet,Build variant map with provider/PDP variation data and image review before exact SKU claims.,no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
classic-montessori-baby-push-walker,Classic Montessori Baby Push Walker,First Steps & Activity,site_all_only,family_collection_not_exact_marketplace_claim,2,variant_cluster_research,B0D6YX3XG1,132,Pretty valley,B0D6YX3XG1,pdp_queue_variant_cluster,85,human_variant_cluster_not_exact,variant_cluster_review,B1_variant_cluster_map,P1_high,provider_variation_api_or_manual_variant_sheet,Build variant map with provider/PDP variation data and image review before exact SKU claims.,no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
activity-cube-baby-push-walker,Activity Cube Baby Push Walker,First Steps & Activity,core_product,family_collection_not_exact_marketplace_claim,,variant_cluster_research,B0F8PZ7KZQ,73,Labebe Store,B0F8PZ7KZQ,pdp_queue_variant_cluster,92,human_variant_cluster_not_exact,variant_cluster_review,B1_variant_cluster_map,P1_high,provider_variation_api_or_manual_variant_sheet,Build variant map with provider/PDP variation data and image review before exact SKU claims.,no_public_marketplace_claim,identity_first_no_search_page_facts_no_fake_reviews_no_public_claims
