asin,sku_id,dtc_title,amazon_title,candidate_score,search_candidate_status
B071774PWC,crocodile-plush-rocker,Crocodile Plush Rocker,"Child Rocking Horse Toy, Stuffed Animal Rocking Horse, Green Crocodile Plush Rocker Toy for Kid 6 Month -3 Years, Wooden Rocking Horse Chair/Rocker/Animal Ride on",100,pdp_queue_variant_cluster
B071774PWC,highlander-cattle-plush-rocker,Highlander Cattle Plush Rocker,"Child Rocking Horse Toy, Stuffed Animal Rocking Horse, Green Crocodile Plush Rocker Toy for Kid 6 Month -3 Years, Wooden Rocking Horse Chair/Rocker/Animal Ride on",40,search_competitor_or_generic_top_result
B07Z3DXVQT,mammoth-plush-rocker,Mammoth Plush Rocker,"Plush Rocking Horse, Mammoth Rocker, Stuffed Rocker Toy for Child 1-3 Year Old, Kid Ride On Toy Wooden, Rocking Animal for Infant/Toddler Girl&Boy, Nursery Birthday Gift",100,pdp_queue_variant_cluster
B07Z3DXVQT,yak-plush-rocker,Yak Plush Rocker,"Plush Rocking Horse, Mammoth Rocker, Stuffed Rocker Toy for Child 1-3 Year Old, Kid Ride On Toy Wooden, Rocking Animal for Infant/Toddler Girl&Boy, Nursery Birthday Gift",90,pdp_queue_variant_cluster
B086WNQRC3,magnetic-easel-with-deluxe-art-supplies-pink,Magnetic Easel with Deluxe Art Supplies – Pink,"Melissa & Doug Magnetic Tabletop Easel, Deluxe Double-Sided Wooden Art Set with Chalkboard, Dry-Erase Board, Paper Roll Holder, Magnets & Art Supplies, Preschool Learning Toys for Kids Ages 3+",50,search_competitor_or_generic_top_result
B086WNQRC3,magnetic-easel-with-deluxe-art-supplies-purple,Magnetic Easel with Deluxe Art Supplies – Purple,"Melissa & Doug Magnetic Tabletop Easel, Deluxe Double-Sided Wooden Art Set with Chalkboard, Dry-Erase Board, Paper Roll Holder, Magnets & Art Supplies, Preschool Learning Toys for Kids Ages 3+",50,search_competitor_or_generic_top_result
B0D6YX3XG1,activity-montessori-baby-push-walker,Activity Montessori Baby Push Walker,"Wooden Baby Walker, Baby Push Walker, Tool Toy for Toddlers, Adjustable Speed Baby Walker with Wheel, Learning Activity Walker for Girls Boys",92,pdp_queue_variant_cluster
B0D6YX3XG1,panda-baby-push-walker,Panda Baby Push Walker,"Wooden Baby Walker, Baby Push Walker, Tool Toy for Toddlers, Adjustable Speed Baby Walker with Wheel, Learning Activity Walker for Girls Boys",90,pdp_queue_variant_cluster
B0D6YX3XG1,classic-montessori-baby-push-walker,Classic Montessori Baby Push Walker,"Wooden Baby Walker, Baby Push Walker, Tool Toy for Toddlers, Adjustable Speed Baby Walker with Wheel, Learning Activity Walker for Girls Boys",85,pdp_queue_variant_cluster
B0F8PZ7KZQ,activity-cube-baby-push-walker,Activity Cube Baby Push Walker,"Wooden Baby Walker, Baby Push Walker Doll Stroller, Push Activity Walker for Kids 18M+, Adjustable Speed Learning Walking with Wheels, Birthday Gift for Girls Boys Ages 1-3",92,pdp_queue_variant_cluster
B0F8PZ7KZQ,farm-themed-baby-push-walker,Farm-Themed Baby Push Walker,"Wooden Baby Walker, Baby Push Walker Doll Stroller, Push Activity Walker for Kids 18M+, Adjustable Speed Learning Walking with Wheels, Birthday Gift for Girls Boys Ages 1-3",85,pdp_queue_variant_cluster
B0F8PZ7KZQ,ice-cream-cart-baby-push-walker,Ice Cream Cart Baby Push Walker,"Wooden Baby Walker, Baby Push Walker Doll Stroller, Push Activity Walker for Kids 18M+, Adjustable Speed Learning Walking with Wheels, Birthday Gift for Girls Boys Ages 1-3",82,pdp_queue_variant_cluster
B0F8PZ7KZQ,doll-stroller-baby-push-walker,Doll Stroller Baby Push Walker,"Wooden Baby Walker, Baby Push Walker Doll Stroller, Push Activity Walker for Kids 18M+, Adjustable Speed Learning Walking with Wheels, Birthday Gift for Girls Boys Ages 1-3",55,search_competitor_or_generic_top_result
