slug,raw_title,parse_ok,name_clean,flag_new,flag_hot,from_prefix,current_price_usd,original_price_usd,discount_pct_listed,discount_pct_implied,reviews_count_listed,csv_current_price_col,csv_original_price_col,csv_discount_col,csv_reviews_col,anomalies
highlander-cattle-plush-rocker,NEW!Highlander Cattle Plush Rocker$125.99$199.99(6),Y,Highlander Cattle Plush Rocker,Y,,,125.99,199.99,,37,6,$125.99,,,6,csv_original_price_col_empty_but_title_has_msrp; title_starts_with_NEW!
fox-plush-rocker,Fox Plush Rocker$119.99$189.99(4),Y,Fox Plush Rocker,,,,119.99,189.99,,37,4,$119.99,,,4,csv_original_price_col_empty_but_title_has_msrp
llama-plush-rocker,-44%HOTLlama Plush Rocker | labebe®$105.99$189.99(7),Y,Llama Plush Rocker,,Y,,105.99,189.99,44,44,7,$105.99,,44%,7,csv_original_price_col_empty_but_title_has_msrp; title_contains_HOT
labrador-plush-rocker,Labrador Plush Rocker$119.99$179.99(3),Y,Labrador Plush Rocker,,,,119.99,179.99,,33,3,$119.99,,,3,csv_original_price_col_empty_but_title_has_msrp
sheep-plush-rocker,-31%Sheep Plush Rocker$109.99$159.99(3),Y,Sheep Plush Rocker,,,,109.99,159.99,31,31,3,$109.99,,31%,3,csv_original_price_col_empty_but_title_has_msrp
white-swan-plush-rocker,-22%HOTWhite Swan Plush Rocker | labebe®From $139.99$179.99(6),Y,White Swan Plush Rocker,,Y,Y,139.99,179.99,22,22,6,$139.99,,22%,6,csv_original_price_col_empty_but_title_has_msrp; title_contains_HOT; title_uses_From_prefix_likely_variant_min_price
crocodile-plush-rocker,Crocodile Plush Rocker$115.99$189.99(4),Y,Crocodile Plush Rocker,,,,115.99,189.99,,39,4,$115.99,,,4,csv_original_price_col_empty_but_title_has_msrp
pink-unicorn-plush-rocker,Pink Unicorn Plush Rocker$109.99(18),Y,Pink Unicorn Plush Rocker,,,,109.99,,,,18,$109.99,,,18,
wooden-rainbow-rocking-chair,NEW!Wooden Rainbow Rocking Chair$69.99$99.99,Y,Wooden Rainbow Rocking Chair,Y,,,69.99,99.99,,30,,$69.99,$99.99,,,title_starts_with_NEW!
yak-plush-rocker,Yak Plush Rocker$105.99$179.99(3),Y,Yak Plush Rocker,,,,105.99,179.99,,41,3,$105.99,,,3,csv_original_price_col_empty_but_title_has_msrp
blue-squirrel-plush-rocker,Blue Squirrel Plush Rocker$119.99$199.99,Y,Blue Squirrel Plush Rocker,,,,119.99,199.99,,40,,$119.99,$199.99,,,
mammoth-plush-rocker,Mammoth Plush Rocker$119.99$199.99(3),Y,Mammoth Plush Rocker,,,,119.99,199.99,,40,3,$119.99,,,3,csv_original_price_col_empty_but_title_has_msrp
wooden-rocking-horse,Wooden Rocking Horse$65.99$99.99,Y,Wooden Rocking Horse,,,,65.99,99.99,,34,,$65.99,$99.99,,,
midnight-serenity-wooden-play-kitchen-set,NEW!Midnight Serenity Wooden Play Kitchen Set | labebe®$129.99$199.99(10),Y,Midnight Serenity Wooden Play Kitchen Set,Y,,,129.99,199.99,,35,10,$129.99,,,10,csv_original_price_col_empty_but_title_has_msrp; title_starts_with_NEW!
outdoor-mud-kitchen-yellow,NEW!Outdoor Mud Kitchen - Yellow$129.99$189.99(5),Y,Outdoor Mud Kitchen - Yellow,Y,,,129.99,189.99,,32,5,$129.99,,,5,csv_original_price_col_empty_but_title_has_msrp; title_starts_with_NEW!
cream-wooden-play-kitchen-set-with-storage,-32%HOTCream Wooden Play Kitchen Set with Storage | labebe®$129.99$189.99(9),Y,Cream Wooden Play Kitchen Set with Storage,,Y,,129.99,189.99,32,32,9,$129.99,,32%,9,csv_original_price_col_empty_but_title_has_msrp; title_contains_HOT
outdoor-garden-potting-bench-table,NEW!Outdoor Garden - Potting Bench Table$139.99(4),Y,Outdoor Garden - Potting Bench Table,Y,,,139.99,,,,4,$139.99,,,4,title_starts_with_NEW!
wooden-bakery-toy-food-playset,Wooden Bakery Toy Food Playset | labebe®$33.99$39.99(6),Y,Wooden Bakery Toy Food Playset,,,,33.99,39.99,,15,6,$33.99,,,6,csv_original_price_col_empty_but_title_has_msrp
kids-coffee-shop-grocery-store-playset,Kids Coffee Shop & Grocery Store Playset$87.99$159.99(5),Y,Kids Coffee Shop & Grocery Store Playset,,,,87.99,159.99,,45,5,$87.99,,,5,csv_original_price_col_empty_but_title_has_msrp
wooden-washer-dryer-playset,Wooden Washer & Dryer Playset$89.99$149.99(5),Y,Wooden Washer & Dryer Playset,,,,89.99,149.99,,40,5,$89.99,,,5,csv_original_price_col_empty_but_title_has_msrp
wooden-mud-kitchen-outdoor-play-kitchen-with-planter-box-sink,Wooden Mud Kitchen with Planter Box$109.99$169.99(1),Y,Wooden Mud Kitchen with Planter Box,,,,109.99,169.99,,35,1,$109.99,,,1,csv_original_price_col_empty_but_title_has_msrp
stylish-wooden-kids-kitchen-playset,Stylish Wooden Kids Kitchen Playset$119.99$215.99(4),Y,Stylish Wooden Kids Kitchen Playset,,,,119.99,215.99,,44,4,$119.99,,,4,csv_original_price_col_empty_but_title_has_msrp
magnetic-easel-with-deluxe-art-supplies-pink,NEW!Magnetic Easel with Deluxe Art Supplies – Pink$93.99$119.99,Y,Magnetic Easel with Deluxe Art Supplies – Pink,Y,,,93.99,119.99,,22,,$93.99,$119.99,,,title_starts_with_NEW!
shark-activity-wall-busy-board-panel,Shark Activity Wall Busy Board Panel$99.99$139.99(2),Y,Shark Activity Wall Busy Board Panel,,,,99.99,139.99,,29,2,$99.99,,,2,csv_original_price_col_empty_but_title_has_msrp
magnetic-easel-with-deluxe-art-supplies-purple,Magnetic Easel with Deluxe Art Supplies – Purple$95.99$119.99,Y,Magnetic Easel with Deluxe Art Supplies – Purple,,,,95.99,119.99,,20,,$95.99,$119.99,,,
magnetic-easel-with-deluxe-art-supplies-colorful,NEW!Magnetic Easel with Deluxe Art Supplies – Colorful$93.99$119.99,Y,Magnetic Easel with Deluxe Art Supplies – Colorful,Y,,,93.99,119.99,,22,,$93.99,$119.99,,,title_starts_with_NEW!
sit-and-spin-wooden-spinner-seat,Sit and Spin Wooden Spinner Seat$55.99$79.99,Y,Sit and Spin Wooden Spinner Seat,,,,55.99,79.99,,30,,$55.99,$79.99,,,
elephant-activity-wall-busy-board-panel,NEW!Elephant Activity Wall Busy Board Panel$95.99$139.99,Y,Elephant Activity Wall Busy Board Panel,Y,,,95.99,139.99,,31,,$95.99,$139.99,,,title_starts_with_NEW!
natural-wood-montessori-shelf-with-storage-boxes,HOTNatural Wood Montessori Shelf with Storage Boxes | labebe®$114.99(9),Y,Natural Wood Montessori Shelf with Storage Boxes,,Y,,114.99,,,,9,$114.99,,,9,title_contains_HOT
kids-toy-storage-organizer-bookshelf-with-bins,HOTKids Toy Storage Organizer & Bookshelf with Bins$105.99(7),Y,Kids Toy Storage Organizer & Bookshelf with Bins,,Y,,105.99,,,,7,$105.99,,,7,title_contains_HOT
kids-desk-chair-set-with-cork-board-hutch,-13%HOTKids’ Desk & Chair Set with Cork Board & Hutch$179.99$205.99(5),Y,Kids’ Desk & Chair Set with Cork Board & Hutch,,Y,,179.99,205.99,13,13,5,$179.99,,13%,5,csv_original_price_col_empty_but_title_has_msrp; title_contains_HOT
princess-vanity-set-with-stool-and-lights,Princess Vanity Set with Stool and Lights$119.99$199.99(3),Y,Princess Vanity Set with Stool and Lights,,,,119.99,199.99,,40,3,$119.99,,,3,csv_original_price_col_empty_but_title_has_msrp
kids-art-table-chair-set-with-easel-3-in-1,-40%NEW!Kids Art Table & Chair Set with Easel (3 in 1)$125.99$209.99(7),Y,Kids Art Table & Chair Set with Easel (3 in 1),Y,,,125.99,209.99,40,40,7,$125.99,,40%,7,csv_original_price_col_empty_but_title_has_msrp; title_starts_with_NEW!
rubber-wood-montessori-shelf,NEW!Rubber Wood Montessori Shelf$139.99$189.99(7),Y,Rubber Wood Montessori Shelf,Y,,,139.99,189.99,,26,7,$139.99,,,7,csv_original_price_col_empty_but_title_has_msrp; title_starts_with_NEW!
kids-toy-storage-organizer-with-bins,Kids Toy Storage Organizer with Bins$109.99$189.99(5),Y,Kids Toy Storage Organizer with Bins,,,,109.99,189.99,,42,5,$109.99,,,5,csv_original_price_col_empty_but_title_has_msrp
learning-tower-montessori-kitchen-tower-unicorn-design,Learning Tower & Montessori Kitchen Tower (Unicorn Design)$59.99$109.99,Y,Learning Tower & Montessori Kitchen Tower (Unicorn Design),,,,59.99,109.99,,45,,$59.99,$109.99,,,
children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art,-14%HOTChildren’s Writing Desk and Chair Set with Hutch & Cork Board for Study & Art$179.99$209.99(12),Y,Children’s Writing Desk and Chair Set with Hutch & Cork Board for Study & Art,,Y,,179.99,209.99,14,14,12,$179.99,,14%,12,csv_original_price_col_empty_but_title_has_msrp; title_contains_HOT
wooden-square-stools-2-per-pack,Wooden Square Stools(2 per Pack)$34.99(7),Y,Wooden Square Stools(2 per Pack),,,,34.99,,,,7,$34.99,,,7,
rubber-wood-corner-cabinet,NEW!Rubber Wood Corner Cabinet$79.99$119.99(1),Y,Rubber Wood Corner Cabinet,Y,,,79.99,119.99,,33,1,$79.99,,,1,csv_original_price_col_empty_but_title_has_msrp; title_starts_with_NEW!
wooden-toy-storage-organizer-with-shelves-bins,Wooden Toy Storage Organizer with Shelves & Bins$99.99$149.99(3),Y,Wooden Toy Storage Organizer with Shelves & Bins,,,,99.99,149.99,,33,3,$99.99,,,3,csv_original_price_col_empty_but_title_has_msrp
kids-wooden-desk---chair-set-with-corkboard--hutch-storage---organizer,"-14%HOTKids Wooden Desk & Chair Set with Corkboard, Hutch Storage & Organizer$179.99$209.99(11)",Y,"Kids Wooden Desk & Chair Set with Corkboard, Hutch Storage & Organizer",,Y,,179.99,209.99,14,14,11,$179.99,,14%,11,csv_original_price_col_empty_but_title_has_msrp; title_contains_HOT
foldable-learning-tower-montessori-kitchen-tower-log-color,Foldable Learning Tower & Montessori Kitchen Tower (Log Color)$79.99$109.99,Y,Foldable Learning Tower & Montessori Kitchen Tower (Log Color),,,,79.99,109.99,,27,,$79.99,$109.99,,,
wooden-round-stools-2-per-pack,Wooden Round Stools(2 per Pack)$35.99,Y,Wooden Round Stools(2 per Pack),,,,35.99,,,,,$35.99,$35.99,,,csv_orig=current_no_real_msrp:'$35.99'
