slug,in_csv_a,in_json,in_image_dir,files_on_disk,gallery_url_count_in_json,normalized_csv_match,normalized_json_match,join_status
activity-cube-baby-push-walker,Y,Y,Y,8,8,,,perfect
blue-squirrel-plush-rocker,Y,Y,Y,8,8,,,perfect
children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art,Y,,Y,1,0,,childrens-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art,csv_to_json_normalize_required
childrens-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art,,Y,Y,13,13,children-s-writing-desk-and-chair-set-with-hutch---cork-board-for-study---art,,json_to_csv_normalize_required
cream-wooden-play-kitchen-set-with-storage,Y,Y,Y,12,12,,,perfect
crocodile-plush-rocker,Y,Y,Y,8,8,,,perfect
elephant-activity-wall-busy-board-panel,Y,Y,Y,7,7,,,perfect
foldable-learning-tower-montessori-kitchen-tower-log-color,Y,Y,Y,8,8,,,perfect
fox-plush-rocker,Y,Y,Y,7,7,,,perfect
highlander-cattle-plush-rocker,Y,Y,Y,16,16,,,perfect
kids-art-table-chair-set-with-easel-3-in-1,Y,Y,Y,24,24,,,perfect
kids-coffee-shop-grocery-store-playset,Y,Y,Y,11,11,,,perfect
kids-desk-chair-set-with-cork-board-hutch,Y,Y,Y,14,14,,,perfect
kids-toy-storage-organizer-bookshelf-with-bins,Y,Y,Y,17,17,,,perfect
kids-toy-storage-organizer-with-bins,Y,Y,Y,8,8,,,perfect
kids-wooden-desk---chair-set-with-corkboard--hutch-storage---organizer,Y,Y,Y,13,13,,,perfect
labrador-plush-rocker,Y,Y,Y,8,8,,,perfect
learning-tower-montessori-kitchen-tower-gray,Y,Y,Y,9,9,,,perfect
learning-tower-montessori-kitchen-tower-unicorn-design,Y,Y,Y,6,6,,,perfect
learning-tower-montessori-kitchen-tower-white,Y,Y,Y,9,9,,,perfect
llama-plush-rocker,Y,Y,Y,7,7,,,perfect
magnetic-easel-with-deluxe-art-supplies-colorful,Y,Y,Y,7,7,,,perfect
magnetic-easel-with-deluxe-art-supplies-pink,Y,Y,Y,7,7,,,perfect
magnetic-easel-with-deluxe-art-supplies-purple,Y,Y,Y,7,7,,,perfect
mammoth-plush-rocker,Y,Y,Y,7,7,,,perfect
midnight-serenity-wooden-play-kitchen-set,Y,Y,Y,24,24,,,perfect
natural-wood-montessori-shelf-with-storage-boxes,Y,Y,Y,13,13,,,perfect
outdoor-garden-potting-bench-table,Y,Y,Y,28,28,,,perfect
outdoor-mud-kitchen-yellow,Y,Y,Y,9,9,,,perfect
pink-unicorn-plush-rocker,Y,Y,Y,7,7,,,perfect
princess-vanity-set-with-stool-and-lights,Y,Y,Y,9,9,,,perfect
rubber-wood-corner-cabinet,Y,Y,Y,8,8,,,perfect
rubber-wood-montessori-shelf,Y,Y,Y,8,8,,,perfect
shark-activity-wall-busy-board-panel,Y,Y,Y,8,8,,,perfect
sheep-plush-rocker,Y,Y,Y,8,8,,,perfect
sit-and-spin-wooden-spinner-seat,Y,Y,Y,7,7,,,perfect
stylish-wooden-kids-kitchen-playset,Y,Y,Y,12,12,,,perfect
white-swan-plush-rocker,Y,Y,Y,12,12,,,perfect
wooden-bakery-toy-food-playset,Y,Y,Y,7,7,,,perfect
wooden-mud-kitchen-outdoor-play-kitchen-with-planter-box-sink,Y,Y,Y,7,7,,,perfect
wooden-rainbow-rocking-chair,Y,Y,Y,8,8,,,perfect
wooden-rocking-horse,Y,Y,Y,8,8,,,perfect
wooden-round-stools-2-per-pack,Y,Y,Y,6,6,,,perfect
wooden-square-stools-2-per-pack,Y,Y,Y,6,6,,,perfect
wooden-toy-storage-organizer-with-shelves-bins,Y,Y,Y,6,6,,,perfect
wooden-washer-dryer-playset,Y,Y,Y,10,10,,,perfect
yak-plush-rocker,Y,Y,Y,7,7,,,perfect
