sku_id,product_url,claim_type,source_excerpt,decision,decision_reason,observed_at
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,dimensions,Dimensions & Weight,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,dimensions,Overall Size: 25″ L × 14″ W × 27″ H,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,dimensions,Seat Height: 13.4″ (34 cm),manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,dimensions,Weight: approx. 10.8 lbs (4.9 kg),manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,dimensions,Weight Limit,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,dimensions,"My grand daughter is super in love with this... she is about to be one years old next week and we got this for her last month.... I got this one cause it has a seat built in, I didn’t feel safe getting her one that had no backing in case she fell back..... she",manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,materials,"Plush pink unicorn rocker with silver horn and mane — soft cushioned seat with harness, sturdy wooden base, and gentle rocking fun for kids 1–3Y.",manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,materials,"FSC-certified wood and non-toxic finishes. Tested to CPC, ASTM, EN71 standards.",manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,materials,"Made with eco materials and thoughtful packaging for a greener, lasting future.",manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,materials,"Crafted with a solid wood base and durable MDF components, this rocker offers smooth, gentle motion and reliable stability. Plush upholstery with neatly stitched PP cotton ensures softness, comfort, and long-lasting use.",manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,materials,Materials,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,materials,Solid wood and plywood frame; softboa exterior; polyester fiber filling.,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,materials,Please read all safety instructions before use and retain the user manual for future reference. Remove and responsibly recycle all packaging materials before giving the product to a child.,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,materials,"I recently purchased this toy rocking horse for my toddler, and it has quickly become a favorite in our household. The design is both charming and sturdy, with smooth wooden curves and a soft, plush body that makes it comfortable and safe for young children.",manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,safety,"FSC-certified wood and non-toxic finishes. Tested to CPC, ASTM, EN71 standards.",manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,safety,ASTM,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,safety,"Created by labebe’s French design team, every detail balances beauty and practicality. The soft cushioned seat with three-sided support and safety belt keeps little ones snug, while the charming look adds a delightful accent to any nursery or playroom.",manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,safety,Safe & Sturdy Build,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,safety,Safety,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,safety,WARNING! Not suitable for children under 6 months.,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,safety,Please read all safety instructions before use and retain the user manual for future reference. Remove and responsibly recycle all packaging materials before giving the product to a child.,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,safety,"Click the icons to see how small design touches make a big difference in comfort, safety, and fun.",manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,age,Kids Furniture,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,age,"Plush pink unicorn rocker with silver horn and mane — soft cushioned seat with harness, sturdy wooden base, and gentle rocking fun for kids 1–3Y.",manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,age,"Perfect for children ages 1–3, this unicorn rocker strengthens balance, coordination, and core muscles while sparking imagination. A timeless gift for birthdays, holidays, or everyday play that will be cherished for years.",manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,age,Age Suitability,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,age,Recommended for children ages 6 months – 3 years (6M+).,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,age,WARNING! Not suitable for children under 6 months.,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,age,"This product may contain small parts and sharp points prior to and during assembly. Adult assembly is required, and children must be kept away until assembly is complete.",manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,age,Check regularly that all screws are tight and parts remain secure. Do not use if any components are missing or damaged. This toy is designed for one child at a time.,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,assembly,Assembly,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,assembly,"Approx. 5–10 minutes by an adult, no additional tools required.",manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,assembly,"This product may contain small parts and sharp points prior to and during assembly. Adult assembly is required, and children must be kept away until assembly is complete.",manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,assembly,Please read all safety instructions before use and retain the user manual for future reference. Remove and responsibly recycle all packaging materials before giving the product to a child.,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,assembly,"Assembly was straightforward and took less than 5 minutes. The rockers are stable and provide a gentle motion that keeps my child entertained without being too wild. I also appreciate the attention to safety—rounded edges, strong handles, a...Read more",manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,assembly,"I purchased the rocking horse (unicorn) for my daughter and it was delivered today. A few hours later, I assembled it in roughly a half-hour with minimal effort. Since her birthday isn't for a few weeks, I can't comment on the actual usage/performance. However",manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,care,Care & Maintenance,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,care,Easy care: spot clean with a soft damp cloth; air dry.,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,shipping,"Free US Shipping, 3-7 Business Days",manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,shipping,Shipping & Returns,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,shipping,Shipping,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,shipping,Delivery usually takes 3–7 business days once shipped.,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,shipping,Return shipping costs are the responsibility of the customer (we recommend a tracked service).,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,shipping,Fast Shipping,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,shipping,"Ship in USA, 3-7 days delivery",manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
pink-unicorn-plush-rocker,https://labebeclub.com/product/pink-unicorn-plush-rocker,shipping,Shipping & Delivery,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
cream-wooden-play-kitchen-set-with-storage,https://labebeclub.com/product/cream-wooden-play-kitchen-set-with-storage,dimensions,This labebe play kitchen for toddlers is a good item and feels thoughtfully designed for imaginative play. The wooden construction gives it a sturdy feel and the realistic accessories make it more engaging for kids who enjoy pretend cooking activities. I like,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
cream-wooden-play-kitchen-set-with-storage,https://labebeclub.com/product/cream-wooden-play-kitchen-set-with-storage,dimensions,"Ages 3–10 (please also compare the product’s height with the child’s height). Suitable for children’s bedrooms, studies, living rooms, and nursery schools.",manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
cream-wooden-play-kitchen-set-with-storage,https://labebeclub.com/product/cream-wooden-play-kitchen-set-with-storage,materials,Cream Wooden Play Kitchen Set with Storage | labebe®,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
cream-wooden-play-kitchen-set-with-storage,https://labebeclub.com/product/cream-wooden-play-kitchen-set-with-storage,materials,Wooden Bakery Toy Food Playset | labebe®,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
cream-wooden-play-kitchen-set-with-storage,https://labebeclub.com/product/cream-wooden-play-kitchen-set-with-storage,materials,"Cream finish and clean lines complement home and educational spaces alike. Adapts naturally to playrooms, living areas, nurseries and Montessori learning environments.",manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
cream-wooden-play-kitchen-set-with-storage,https://labebeclub.com/product/cream-wooden-play-kitchen-set-with-storage,materials,"Woven rattan door opens to solid wood treats. Built for immersive, tactile baking play.",manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
cream-wooden-play-kitchen-set-with-storage,https://labebeclub.com/product/cream-wooden-play-kitchen-set-with-storage,materials,Kid-friendly handles and soft materials. Safe for independent cleanup.,manual_review_required,"Official PDP source text captured, but exact claim scope and public wording still need human review.",2026-04-27T20:08:07.139355+00:00
