source_id	source_family	source_tier	title	origin	publisher_or_owner	path_or_url	date	trace_point	trust_notes	allowed_usage
local_labebe_products_csv	local_authority	T0	Labebe products CSV	local file	Codex/local scrape	data/labebe/labebe_products.csv	2026-04-24	46 product list with prices/review counts/images	Useful but titles are dirty and scrape is listing-level	product inventory baseline and gap diagnosis
local_labebe_products_with_images	local_authority	T0	Labebe products with images CSV	local file	Codex/local scrape	data/labebe/labebe_products_with_images.csv	2026-04-24	product rows with image references	Useful for visual asset inventory	product image planning and catalog QA
local_labebe_all_images	local_authority	T0	All Labebe product images JSON	local file	Codex/local scrape	data/labebe/all_product_images.json	2026-04-24	46 galleries and 459 indexed image URLs	Images not role-classified yet	image role classification input
local_labebe_scrape_report	local_authority	T0	Labebe scrape report	local file	Codex/docs	docs/labebe-scrape-report-2026-04-24.md	2026-04-24	46 products, 460 local images, collection split	Summary is complete for inventory, not for full intelligence	current-state inventory
local_amazon_reviews_sample	local_authority	T0	Amazon reviews sample for B087P9SXZQ	local file	Apify output via local script	data/amazon_reviews_US_B087P9SXZQ.csv	2026-04-24	13 deduplicated review rows	Only one ASIN; ASIN-SKU match must be verified	method seed for review/VOC workflow
local_fetch_amazon_reviews_script	local_authority	T0	Apify Amazon reviews script	local file	Codex/local script	fetch_amazon_reviews_apify.py	2026-04-24	uses Apify review actor by ASIN/star/sort	Method exists but not full Amazon intelligence	source method audit
local_scrape_labebe_script	local_authority	T0	Labebe scrape script	local file	Codex/local script	scrape_labebe.py	2026-04-24	independent-site scrape entry point	Needs PDP enrichment and title cleanup	source method audit
prior_design_research_v2	local_authority	T0	Website design research v2	local file	Codex research	research/20260425_design_dtc_research_v2/01_website_design_research.md	2026-04-25	website design framework and references	Useful but predates full product/channel intelligence	design research input
prior_dtc_growth_research_v2	local_authority	T0	Independent site growth research v2	local file	Codex research	research/20260425_design_dtc_research_v2/02_independent_site_growth_research.md	2026-04-25	DTC growth framework	Useful but must be refit to pure Labebe DTC scope	design and conversion planning
prior_radical_rethink	local_authority	T0	Radical design rethink	local file	Codex research	research/20260426_radical_design_rethink.md	2026-04-26	reflection on why previous designs failed	Useful for avoiding repeated design failure	design critique context
reference_pack_strategy	local_authority	T0	Labebe design reference pack	local folder	Codex research	labebe_design_reference_pack/	2026-04-25	reference mapping and patterns	Useful, but not final without product intelligence	benchmark/reference mapping
chatgpt_pro_review	expert_review	T2	ChatGPT Pro review of prework plan	automation	ChatGPT Pro	to_be_created	2026-04-27	critical review of plan and gaps	Advisory only; not factual product evidence	methodology and design critique
